0,tcp,Unassigned,OTH,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,1.0,0,1.0,0,0.0,0.1111111111111111,0.0,0.0
0,udp,Unassigned,SF,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1.0,0,1.0,0,0.0,0.125,0.0,0.0
0,udp,Unassigned,SF,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1.0,0,1.0,0,0.0,0.13333333333333333,0.0,0.0
0,tcp,Unassigned,OTH,163,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1.0,0,1.0,0,0.0,0.14285714285714285,0.0,0.0
0,udp,Unassigned,SF,1487,1496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,1.0,0,0.3333333333333333,0,0.0,0.18181818181818182,0.0,0.0
0,udp,Unassigned,SF,1487,1496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,1.0,0,0.5,0,0.0,0.16666666666666666,0.0,0.0
4,tcp,Unassigned,OTH,457,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,1.0,0,0.25,0,0.0,0.1,0.0,0.0
4,tcp,Unassigned,OTH,258,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,1.0,0,1.0,0,0.0,0.10526315789473684,0.0,0.0
0,tcp,Unassigned,OTH,172,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1.0,0,1.0,0,0.0,0.25,0.0,0.0
0,udp,Unassigned,SF,101,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1.0,0,0.5,0,0.0,0.3333333333333333,0.0,0.0
0,udp,Unassigned,SF,101,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1.0,0,1.0,0,0.0,0.2,0.0,0.0
0,udp,Unassigned,SF,103,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1.0,0,1.0,0,0.0,0.0,0.0,0.0
5,tcp,Unassigned,OTH,1566,1082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1.0,0,1.0,0,0.0,0.11764705882352941,0.0,0.0
0,udp,Unassigned,SF,3320,1670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1.0,0,1.0,0,0.0,0.2222222222222222,0.0,0.0
0,tcp,Unassigned,ESTAB,723,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1.0,0,1.0,0,0.0,0.0,0.0,0.0
0,tcp,Unassigned,ESTAB,723,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.0,0,1.0,0,0.0,0.0,0.0,0.0
0,udp,Unassigned,SF,2898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0,1.0,0,0.0,0.0,0.0,0.0
0,udp,Unassigned,SF,3166,3146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1.0,0,0.5,0,0.0,0.2,0.0,0.0
3,udp,Unassigned,SF,13090,264668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,1.0,0,0.3333333333333333,0,0.0,0.15384615384615385,0.0,0.0
0,tcp,Unassigned,OTH,972,7670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1.0,0,1.0,0,0.0,0.2857142857142857,0.0,0.0
